,area_id,datetime,humidity,temprature
286,Lumajang,20240613,85,25
287,Lumajang,20240613,90,24
288,Magetan,20240611,85,26
289,Magetan,20240611,70,32
290,Magetan,20240611,85,27
291,Magetan,20240611,85,24
292,Magetan,20240612,90,26
293,Magetan,20240612,70,29
294,Magetan,20240612,85,25
295,Magetan,20240612,95,24
296,Magetan,20240613,90,25
297,Magetan,20240613,75,30
298,Magetan,20240613,95,25
299,Magetan,20240613,95,25
300,Nganjuk,20240611,80,27
301,Nganjuk,20240611,60,33
302,Nganjuk,20240611,80,28
303,Nganjuk,20240611,85,25
304,Nganjuk,20240612,85,25
305,Nganjuk,20240612,65,32
306,Nganjuk,20240612,90,25
307,Nganjuk,20240612,95,23
308,Nganjuk,20240613,95,24
309,Nganjuk,20240613,60,32
310,Nganjuk,20240613,90,26
311,Nganjuk,20240613,90,24
312,Ngawi,20240611,80,27
313,Ngawi,20240611,60,33
314,Ngawi,20240611,80,28
315,Ngawi,20240611,85,25
316,Ngawi,20240612,85,25
317,Ngawi,20240612,65,32
318,Ngawi,20240612,80,26
319,Ngawi,20240612,90,25
320,Ngawi,20240613,90,25
321,Ngawi,20240613,60,32
322,Ngawi,20240613,90,27
323,Ngawi,20240613,90,25
324,Pacitan,20240611,80,27
325,Pacitan,20240611,60,32
326,Pacitan,20240611,80,28
327,Pacitan,20240611,85,25
328,Pacitan,20240612,85,26
329,Pacitan,20240612,65,33
330,Pacitan,20240612,90,26
331,Pacitan,20240612,95,25
332,Pacitan,20240613,90,26
333,Pacitan,20240613,65,33
334,Pacitan,20240613,90,26
335,Pacitan,20240613,95,24
336,Pamekasan,20240611,80,27
337,Pamekasan,20240611,60,32
338,Pamekasan,20240611,75,28
339,Pamekasan,20240611,85,25
340,Pamekasan,20240612,85,26
341,Pamekasan,20240612,70,31
342,Pamekasan,20240612,85,26
343,Pamekasan,20240612,90,25
344,Pamekasan,20240613,85,27
345,Pamekasan,20240613,70,32
346,Pamekasan,20240613,90,25
347,Pamekasan,20240613,90,25
348,Ponorogo,20240611,80,27
349,Ponorogo,20240611,60,33
350,Ponorogo,20240611,80,28
351,Ponorogo,20240611,85,25
352,Ponorogo,20240612,85,26
353,Ponorogo,20240612,65,33
354,Ponorogo,20240612,80,26
355,Ponorogo,20240612,95,24
356,Ponorogo,20240613,90,26
357,Ponorogo,20240613,65,31
358,Ponorogo,20240613,85,26
359,Ponorogo,20240613,95,25
360,Sampang,20240611,80,27
361,Sampang,20240611,60,32
362,Sampang,20240611,75,28
363,Sampang,20240611,85,25
364,Sampang,20240612,85,27
365,Sampang,20240612,70,32
366,Sampang,20240612,85,26
367,Sampang,20240612,90,25
368,Sampang,20240613,85,27
369,Sampang,20240613,65,32
370,Sampang,20240613,90,26
371,Sampang,20240613,90,24
372,Sidoarjo,20240611,80,26
373,Sidoarjo,20240611,60,33
374,Sidoarjo,20240611,75,28
375,Sidoarjo,20240611,85,25
376,Sidoarjo,20240612,85,25
377,Sidoarjo,20240612,65,33
378,Sidoarjo,20240612,80,27
379,Sidoarjo,20240612,95,25
380,Sidoarjo,20240613,90,26
381,Sidoarjo,20240613,70,31
382,Sidoarjo,20240613,85,26
383,Sidoarjo,20240613,90,25
384,Situbondo,20240611,80,27
385,Situbondo,20240611,60,33
386,Situbondo,20240611,75,28
387,Situbondo,20240611,85,25
388,Situbondo,20240612,90,25
389,Situbondo,20240612,75,30
390,Situbondo,20240612,90,25
391,Situbondo,20240612,95,24
392,Situbondo,20240613,85,25
393,Situbondo,20240613,65,30
394,Situbondo,20240613,90,25
395,Situbondo,20240613,95,23
396,Sumenep,20240611,80,27
397,Sumenep,20240611,60,32
398,Sumenep,20240611,75,28
399,Sumenep,20240611,85,25
400,Sumenep,20240612,85,25
401,Sumenep,20240612,70,31
402,Sumenep,20240612,85,26
403,Sumenep,20240612,90,26
404,Sumenep,20240613,85,27
405,Sumenep,20240613,70,32
406,Sumenep,20240613,90,25
407,Sumenep,20240613,90,25
408,Surabaya,20240611,80,27
409,Surabaya,20240611,60,33
410,Surabaya,20240611,75,28
411,Surabaya,20240611,85,25
412,Surabaya,20240612,85,26
413,Surabaya,20240612,65,34
414,Surabaya,20240612,80,28
415,Surabaya,20240612,95,25
416,Surabaya,20240613,95,27
417,Surabaya,20240613,65,32
418,Surabaya,20240613,90,27
419,Surabaya,20240613,90,26
420,Trenggalek,20240611,85,26
421,Trenggalek,20240611,65,32
422,Trenggalek,20240611,80,27
423,Trenggalek,20240611,85,25
424,Trenggalek,20240612,90,23
425,Trenggalek,20240612,70,30
426,Trenggalek,20240612,95,23
427,Trenggalek,20240612,95,22
428,Trenggalek,20240613,95,23
429,Trenggalek,20240613,75,30
430,Trenggalek,20240613,90,23
431,Trenggalek,20240613,95,23
432,Tuban,20240611,85,27
433,Tuban,20240611,65,33
434,Tuban,20240611,80,27
435,Tuban,20240611,85,24
436,Tuban,20240612,90,25
437,Tuban,20240612,65,32
438,Tuban,20240612,85,26
439,Tuban,20240612,95,24
440,Tuban,20240613,90,25
441,Tuban,20240613,70,32
442,Tuban,20240613,85,27
443,Tuban,20240613,95,25
444,Tulungagung,20240611,85,27
445,Tulungagung,20240611,65,33
446,Tulungagung,20240611,80,28
447,Tulungagung,20240611,85,25
448,Tulungagung,20240612,85,25
449,Tulungagung,20240612,65,30
450,Tulungagung,20240612,85,26
451,Tulungagung,20240612,90,25
452,Tulungagung,20240613,90,25
453,Tulungagung,20240613,70,30
454,Tulungagung,20240613,90,26
455,Tulungagung,20240613,90,25
